_H_(head above the crest),Q(m3/s)
0.033,0.00385384
0.029,0.003340184
0.024,0.00257433
0.019,0.001882145
0.014,0.001307196
0.009,0.000656531
0.034,0.004403855
0.029,0.003687781
0.025,0.003239979
0.022,0.00302398
0.018,0.002251102
0.015,0.002061805
0.034,0.003239979
0.027,0.002724306
0.025,0.002338129
0.017,0.001631644
0.012,0.001028565
0.005,0.000640674
0.033,0.003325491
0.028,0.002514396
0.0225,0.002097074
0.018,0.001537617
0.013,0.001081022
0.007,0.000593092
0.0446,0.004652277
0.0395,0.002791366
0.0352,0.002346596
0.0304,0.001743263
0.0254,0.001288628
0.0204,0.000897146
0.031,0.001940107
0.024,0.001438773
0.019,0.001018518
0.016,0.000869626
0.01,0.000522899
0.031,0.00222025
0.023,0.001330197
0.019,0.000795645
0.015,0.000717376
0.012,0.000432244
0.009,0.000313908
0.029,0.001901077
0.025,0.001444577
0.02,0.001241371
0.017,0.000793279
0.014,0.00066296
0.0105,0.000424478