Parameter,Value,Unit
Flow rate (Q),0.006,mÂ³/s
Main pipe diameter,0.07619999999999999,m
Pipe length,9.7536,m
Pipe roughness (eps),1.5e-06,m
Elevation difference,1.5971520000000001,m
Main-line velocity,1.3156834942599902,m/s
Major losses,0.20227442467911969,m
Minor losses,9.177909260783233,m
Total losses,9.380183685462352,m
Required pump head,11.065593299278904,m
Hydraulic power,649.7962063639002,W
Shaft power,928.2802948055718,W
Shaft power,1.2448443799727134,hp
Pump efficiency,0.7,-
